time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
80385701,518,1320,1373,228,168,319,217
80419034,424,1306,1298,204,226,291,218
80452367,501,1384,1157,195,234,487,218
80485700,374,975,1038,203,245,391,218
80519033,391,1031,993,200,539,498,218
80552366,391,1169,857,279,359,388,217
80585699,388,1380,709,231,415,352,218
80619032,302,1314,917,243,713,444,218
80652365,285,1084,676,215,482,298,218
80685698,452,944,1078,201,453,504,217
80719031,339,986,830,196,357,370,218
80752364,315,923,882,199,373,360,219
80785697,246,695,636,217,283,329,218
80819030,315,900,833,210,480,274,216
80852363,320,848,732,208,462,230,217
80885696,291,751,583,211,322,198,216
80919029,310,623,463,204,336,193,217
80952362,266,638,467,203,301,177,218
80985695,322,674,398,209,428,184,217
81019028,252,696,480,217,280,166,217
81052361,305,923,558,217,211,184,216
81085694,260,564,421,227,325,170,216
81119027,291,601,340,251,329,178,217
81152360,253,545,330,278,325,152,213
81185693,238,557,290,292,226,142,216
81219026,243,597,347,299,321,146,216
81252359,255,694,395,304,343,153,215
81285692,417,602,428,317,347,151,216
81319025,321,742,496,286,528,162,216
81352358,403,934,774,265,323,143,213
81385691,447,714,1006,259,481,153,217
81419024,509,629,849,267,316,138,216
81452357,474,651,777,278,352,160,215
81485690,421,514,495,278,236,145,216
81519023,357,768,541,277,466,174,214
81552356,299,713,481,266,334,160,216
81585689,305,948,757,261,481,167,215
81619022,293,578,467,252,326,153,216
81652355,285,618,355,256,424,154,217
81685688,237,372,230,249,328,144,216
81719021,299,632,290,268,276,144,215
81752354,225,377,197,267,188,136,216
81785687,404,353,326,294,165,136,216
81819020,278,256,215,258,126,138,216
81852353,230,224,233,262,108,134,218
81885686,191,212,173,252,97,128,217
81919019,172,179,164,240,91,129,217
81952352,164,177,200,245,88,129,216
81985685,162,169,156,231,90,127,216
82019018,157,162,136,249,101,130,215
82052351,154,161,132,226,143,135,217
82085684,169,179,179,250,234,135,216
82119017,162,164,145,220,155,141,216
82152350,163,176,175,230,167,136,216
82185683,160,174,156,211,132,138,215
82219016,159,191,138,212,242,145,217
82252349,156,168,127,206,191,136,216
82285682,156,171,156,195,175,142,216
82319015,156,159,135,212,164,138,216
82352348,161,190,182,204,123,138,218
82385681,158,174,149,203,106,134,216
82419014,161,202,208,194,121,131,216
82452347,158,209,171,213,108,129,216
